cuda:1
genrr_chi
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor(26.0379, device='cuda:1')
pval: 0.0010000000474974513 -- 144th test, time elapsed 4.4875876903533936 -- emperical power so far: 0.9791666666666666
tensor(25.9425, device='cuda:1')
pval: 0.0010000000474974513 -- 145th test, time elapsed 4.4882776737213135 -- emperical power so far: 0.9793103448275862
tensor(26.4520, device='cuda:1')
pval: 0.0010000000474974513 -- 146th test, time elapsed 5.093987464904785 -- emperical power so far: 0.9794520547945206
tensor(24.4175, device='cuda:1')
pval: 0.0010000000474974513 -- 147th test, time elapsed 5.119705677032471 -- emperical power so far: 0.9795918367346939
tensor(14.8741, device='cuda:1')
pval: 0.005000000353902578 -- 148th test, time elapsed 6.033094882965088 -- emperical power so far: 0.9797297297297297
tensor(43.4826, device='cuda:1')
pval: 0.0010000000474974513 -- 149th test, time elapsed 6.170632839202881 -- emperical power so far: 0.9798657718120806
tensor(23.9767, device='cuda:1')
pval: 0.0010000000474974513 -- 150th test, time elapsed 6.188547849655151 -- emperical power so far: 0.98
tensor(20.4727, device='cuda:1')
pval: 0.0010000000474974513 -- 151th test, time elapsed 6.217275857925415 -- emperical power so far: 0.9801324503311258
tensor(14.4649, device='cuda:1')
pval: 0.004000000189989805 -- 152th test, time elapsed 6.187934160232544 -- emperical power so far: 0.9802631578947368
tensor(35.1140, device='cuda:1')
pval: 0.0010000000474974513 -- 153th test, time elapsed 6.220639944076538 -- emperical power so far: 0.9803921568627451
tensor(21.5722, device='cuda:1')
pval: 0.0020000000949949026 -- 154th test, time elapsed 5.1793601512908936 -- emperical power so far: 0.9805194805194806
tensor(22.4996, device='cuda:1')
pval: 0.0010000000474974513 -- 155th test, time elapsed 4.5508949756622314 -- emperical power so far: 0.9806451612903225
tensor(16.7800, device='cuda:1')
pval: 0.0020000000949949026 -- 156th test, time elapsed 4.483549356460571 -- emperical power so far: 0.9807692307692307
tensor(22.2873, device='cuda:1')
pval: 0.0010000000474974513 -- 157th test, time elapsed 4.487992763519287 -- emperical power so far: 0.9808917197452229
tensor(21.9724, device='cuda:1')
pval: 0.0010000000474974513 -- 158th test, time elapsed 4.488690614700317 -- emperical power so far: 0.9810126582278481
tensor(15.7336, device='cuda:1')
pval: 0.003000000026077032 -- 159th test, time elapsed 5.008770227432251 -- emperical power so far: 0.9811320754716981
tensor(22.5337, device='cuda:1')
pval: 0.0010000000474974513 -- 160th test, time elapsed 4.5234534740448 -- emperical power so far: 0.98125
tensor(28.3416, device='cuda:1')
pval: 0.0010000000474974513 -- 161th test, time elapsed 4.814817905426025 -- emperical power so far: 0.9813664596273292
tensor(14.3245, device='cuda:1')
pval: 0.007000000216066837 -- 162th test, time elapsed 4.5741050243377686 -- emperical power so far: 0.9814814814814815
tensor(8.9145, device='cuda:1')
pval: 0.02500000037252903 -- 163th test, time elapsed 4.550065040588379 -- emperical power so far: 0.9815950920245399
tensor(14.5273, device='cuda:1')
pval: 0.003000000026077032 -- 164th test, time elapsed 4.523461818695068 -- emperical power so far: 0.9817073170731707
tensor(17.3166, device='cuda:1')
pval: 0.0010000000474974513 -- 165th test, time elapsed 4.508017539978027 -- emperical power so far: 0.9818181818181818
tensor(17.7028, device='cuda:1')
pval: 0.0010000000474974513 -- 166th test, time elapsed 4.510260105133057 -- emperical power so far: 0.9819277108433735
