cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(-0.0370, device='cuda:1')
pval: 0.7380000352859497 -- 145th test, time elapsed 2.1480557918548584 -- emperical power so far: 0.4413793103448276
tensor(0.0274, device='cuda:1')
pval: 0.2460000067949295 -- 146th test, time elapsed 2.0880236625671387 -- emperical power so far: 0.4383561643835616
tensor(0.0754, device='cuda:1')
pval: 0.07700000703334808 -- 147th test, time elapsed 2.107926368713379 -- emperical power so far: 0.43537414965986393
tensor(0.1835, device='cuda:1')
pval: 0.006000000052154064 -- 148th test, time elapsed 2.0853936672210693 -- emperical power so far: 0.4391891891891892
tensor(0.0004, device='cuda:1')
pval: 0.3750000298023224 -- 149th test, time elapsed 2.083092451095581 -- emperical power so far: 0.436241610738255
tensor(0.1033, device='cuda:1')
pval: 0.03700000047683716 -- 150th test, time elapsed 2.089737892150879 -- emperical power so far: 0.44
tensor(0.0387, device='cuda:1')
pval: 0.1850000023841858 -- 151th test, time elapsed 2.104374885559082 -- emperical power so far: 0.4370860927152318
tensor(-0.0159, device='cuda:1')
pval: 0.5380000472068787 -- 152th test, time elapsed 2.088416337966919 -- emperical power so far: 0.4342105263157895
tensor(0.0133, device='cuda:1')
pval: 0.28600001335144043 -- 153th test, time elapsed 2.106619358062744 -- emperical power so far: 0.43137254901960786
tensor(0.1280, device='cuda:1')
pval: 0.02200000174343586 -- 154th test, time elapsed 2.099365711212158 -- emperical power so far: 0.43506493506493504
tensor(0.3018, device='cuda:1')
pval: 0.0010000000474974513 -- 155th test, time elapsed 2.0870280265808105 -- emperical power so far: 0.43870967741935485
tensor(-0.0305, device='cuda:1')
pval: 0.706000030040741 -- 156th test, time elapsed 2.1323561668395996 -- emperical power so far: 0.4358974358974359
tensor(0.0421, device='cuda:1')
pval: 0.17600001394748688 -- 157th test, time elapsed 2.111732006072998 -- emperical power so far: 0.43312101910828027
tensor(0.3378, device='cuda:1')
pval: 0.0010000000474974513 -- 158th test, time elapsed 2.1364431381225586 -- emperical power so far: 0.43670886075949367
tensor(0.3627, device='cuda:1')
pval: 0.0010000000474974513 -- 159th test, time elapsed 2.090240478515625 -- emperical power so far: 0.44025157232704404
tensor(0.0310, device='cuda:1')
pval: 0.2120000123977661 -- 160th test, time elapsed 2.0850777626037598 -- emperical power so far: 0.4375
tensor(0.3173, device='cuda:1')
pval: 0.0010000000474974513 -- 161th test, time elapsed 2.1292762756347656 -- emperical power so far: 0.4409937888198758
tensor(0.0716, device='cuda:1')
pval: 0.09000000357627869 -- 162th test, time elapsed 2.092075824737549 -- emperical power so far: 0.4382716049382716
tensor(0.0834, device='cuda:1')
